date,hole,method,mode,P(TM),P(rpr),P(nd),P(issl)
2018-02-01,232,6,1,,,,10.0
2018-02-02,232,6,1,,,,10.0
2018-02-03,232,6,1,,,,10.0
2018-02-04,232,6,1,,,,10.0
2018-02-05,232,6,1,,,,10.0
2018-02-06,232,6,1,,,,10.0
2018-02-07,232,6,1,,,,10.0
2018-02-08,232,6,1,,,,10.0
2018-02-09,232,6,1,,,,10.0
2018-02-10,232,6,1,,,,10.0
2018-02-11,232,6,1,,,,10.0
2018-02-12,232,6,1,,,,10.0
2018-02-13,232,6,1,,,,10.0
2018-02-14,232,6,1,,,,10.0
2018-02-15,232,6,1,,,,10.0
2018-02-16,232,6,1,,,,10.0
2018-02-17,232,6,1,,,,10.0
2018-02-18,232,6,1,,,,10.0
2018-02-19,232,6,1,,,,10.0
2018-02-20,232,6,1,,,,10.0
2018-02-21,232,6,1,,,,10.0
2018-02-22,232,6,1,,,,10.0
2018-02-23,232,6,1,,,,10.0
2018-02-24,232,6,1,,,,10.0
2018-02-25,232,6,1,,,,10.0
2018-02-26,232,6,1,,,,10.0
2018-02-27,232,6,1,,,,10.0
2018-02-28,232,6,1,,,,10.0
2018-02-01,232,6,0,53.0,144.4,,156.0
2018-02-02,232,6,0,51.0,144.4,,156.0
2018-02-03,232,6,0,51.0,144.4,,156.0
2018-02-04,232,6,0,52.0,144.5,,156.0
2018-02-05,232,6,0,51.0,143.2,,156.0
2018-02-06,232,6,0,51.0,143.2,,156.0
2018-02-07,232,6,0,51.0,142.8,,156.0
2018-02-08,232,6,0,51.0,142.8,,156.0
2018-02-09,232,6,0,51.0,142.8,,156.0
2018-02-10,232,6,0,51.0,143.0,,156.0
2018-02-11,232,6,0,51.0,143.0,,156.0
2018-02-12,232,6,0,51.0,145.7,,156.0
2018-02-13,232,6,0,52.0,145.7,,156.0
2018-02-14,232,6,0,51.0,145.7,,156.0
2018-02-15,232,6,0,51.0,145.7,,156.0
2018-02-16,232,6,0,51.0,145.5,,156.0
2018-02-17,232,6,0,51.0,144.6,,156.0
2018-02-18,232,6,0,51.0,144.6,,156.0
2018-02-19,232,6,0,51.0,141.4,,156.0
2018-02-20,232,6,0,51.0,141.2,,156.0
2018-02-21,232,6,0,50.0,141.2,,156.0
2018-02-22,232,6,0,51.0,141.2,,156.0
2018-02-23,232,6,0,51.0,141.2,,156.0
2018-02-24,232,6,0,51.0,141.9,,156.0
2018-02-25,232,6,0,51.0,141.9,,156.0
2018-02-26,232,6,0,50.0,141.9,,156.0
2018-02-27,232,6,0,51.0,141.5,,156.0
2018-02-28,232,6,0,50.0,141.5,,156.0
2018-03-01,232,6,1,,,48.6,10.0
2018-03-02,232,6,1,,,48.6,10.0
2018-03-03,232,6,1,,,48.6,10.0
2018-03-04,232,6,1,,,48.6,10.0
2018-03-05,232,6,1,,,48.6,10.0
2018-03-06,232,6,1,,,48.6,10.0
2018-03-07,232,6,1,,,48.6,10.0
2018-03-08,232,6,1,,,48.5,10.0
2018-03-09,232,6,1,,,48.5,10.0
2018-03-10,232,6,1,,,48.6,10.0
2018-03-11,232,6,1,,,48.5,10.0
2018-03-12,232,6,1,,,48.5,10.0
2018-03-13,232,6,1,,,55.7,10.0
2018-03-14,232,6,1,,,55.7,10.0
2018-03-15,232,6,1,,,55.7,10.0
2018-03-16,232,6,1,,,45.3,10.0
2018-03-17,232,6,1,,,45.3,10.0
2018-03-18,232,6,1,,,45.3,10.0
2018-03-19,232,6,1,189.0,,45.4,10.0
2018-03-20,232,6,1,189.0,,45.3,10.0
2018-03-21,232,6,1,189.0,,45.3,10.0
2018-03-22,232,6,1,190.0,,45.3,10.0
2018-03-23,232,6,1,190.0,,45.4,10.0
2018-03-24,232,6,1,190.0,,45.3,10.0
2018-03-25,232,6,1,190.0,,45.3,10.0
2018-03-26,232,6,1,190.0,,45.3,10.0
2018-03-27,232,6,1,190.0,,45.3,10.0
2018-03-28,232,6,1,190.0,,45.3,10.0
2018-03-29,232,6,1,190.0,,45.3,10.0
2018-03-30,232,6,1,190.0,,45.3,10.0
2018-03-31,232,6,1,190.0,,45.3,10.0
2018-03-01,232,6,0,50.0,141.5,111.3,156.0
2018-03-02,232,6,0,52.0,141.5,111.3,156.0
2018-03-03,232,6,0,50.0,141.5,111.3,156.0
2018-03-04,232,6,0,50.0,141.0,110.3,156.0
2018-03-05,232,6,0,49.0,141.0,110.3,156.0
2018-03-06,232,6,0,48.0,141.0,110.3,156.0
2018-03-07,232,6,0,50.0,141.0,111.2,156.0
2018-03-08,232,6,0,50.0,141.0,111.2,156.0
2018-03-09,232,6,0,51.0,141.0,111.2,156.0
2018-03-10,232,6,0,50.0,141.4,113.2,156.0
2018-03-11,232,6,0,51.0,141.4,113.2,156.0
