date,hole,method,mode,P(TM),P(rpr),P(nd),P(issl)
2018-02-01,10р,6,1,,,,
2018-02-02,10р,6,1,,,,
2018-02-03,10р,6,1,,,,
2018-02-04,10р,6,1,0.0,,,1.0
2018-02-05,10р,6,1,0.0,,,1.0
2018-02-06,10р,6,1,0.0,,,1.0
2018-02-07,10р,6,1,0.0,,,1.0
2018-02-08,10р,6,1,0.0,,,1.0
2018-02-09,10р,6,1,0.0,,,1.0
2018-02-10,10р,6,1,0.0,,,1.0
2018-02-11,10р,6,1,0.0,,,1.0
2018-02-12,10р,6,1,0.0,,,1.0
2018-02-13,10р,6,1,0.0,,,1.0
2018-02-14,10р,6,1,0.0,,,1.0
2018-02-15,10р,6,1,0.0,,,1.0
2018-02-16,10р,6,1,0.0,,,1.0
2018-02-17,10р,6,1,0.0,,,1.0
2018-02-18,10р,6,1,0.0,,,1.0
2018-02-19,10р,6,1,0.0,,,1.0
2018-02-20,10р,6,1,0.0,,,1.0
2018-02-21,10р,6,1,0.0,,,1.0
2018-02-22,10р,6,1,0.0,,,1.0
2018-02-23,10р,6,1,0.0,,,1.0
2018-02-24,10р,6,1,0.0,,,1.0
2018-02-25,10р,6,1,0.0,,,1.0
2018-02-26,10р,6,1,0.0,,,1.0
2018-02-27,10р,6,1,0.0,,,1.0
2018-02-28,10р,6,1,0.0,,,1.0
2018-03-01,10р,6,1,0.0,,,1.0
2018-03-02,10р,6,1,0.0,,,1.0
2018-03-03,10р,6,1,0.0,,,1.0
2018-03-04,10р,6,1,0.0,,0.44978783592644983,1.0
2018-03-05,10р,6,1,0.0,,0.4606317774634606,1.0
2018-03-06,10р,6,1,0.0,,0.46581801037246584,1.0
2018-03-07,10р,6,1,0.0,,0.457920792079208,1.0
2018-03-08,10р,6,1,0.0,,0.45002357378595015,1.0
2018-03-09,10р,6,1,0.0,,0.4421263554926923,1.0
2018-03-10,10р,6,1,0.0,,0.4404761904761907,1.0
2018-03-11,10р,6,1,0.0,,0.4410655351249412,1.0
2018-03-12,10р,6,1,0.0,,0.4416548797736918,1.0
2018-03-13,10р,6,1,0.0,,0.4422442244224424,1.0
2018-03-14,10р,6,1,0.0,,0.43917963224893936,1.0
2018-03-15,10р,6,1,0.0,,0.4361150400754363,1.0
2018-03-16,10р,6,1,0.0,,0.43104667609618125,1.0
2018-03-17,10р,6,1,0.0,,0.4259783121169262,1.0
2018-03-18,10р,6,1,0.0,,0.42350306459217374,1.0
2018-03-19,10р,6,1,0.23672566371681417,,0.42102781706742126,1.0
2018-03-20,10р,6,1,,,0.4205563413484208,1.0
2018-03-21,10р,6,1,,,0.42090994813767124,1.0
2018-03-22,10р,6,1,,,0.4217350306459221,1.0
2018-03-23,10р,6,1,,,0.4263319189061766,1.0
2018-03-24,10р,6,1,,,0.42951438000942976,1.0
2018-03-25,10р,6,1,,,0.4318717586044321,1.0
2018-03-26,10р,6,1,,,0.4342291371994345,1.0
2018-03-27,10р,6,1,,,0.43281471004243316,1.0
2018-03-28,10р,6,1,,,0.4328147100424332,1.0
2018-03-29,10р,6,1,,,0.4328147100424332,1.0
2018-03-30,10р,6,1,,,0.4328147100424332,1.0
2018-03-31,10р,6,1,,,0.4328147100424332,1.0
2018-04-01,10р,6,1,,,0.4329325789721833,
2018-04-02,10р,6,1,,,0.43033946251768074,
2018-04-03,10р,6,1,,,0.4277463460631782,
2018-04-04,10р,6,1,,,0.42574257425742623,
2018-04-05,10р,6,1,,,0.4240924092409246,
2018-04-06,10р,6,1,,,0.4251532296086757,
2018-04-07,10р,6,1,,,0.4249174917491754,
2018-04-08,10р,6,1,,,0.42409240924092456,
2018-04-09,10р,6,1,,,0.42220650636492274,
2018-04-10,10р,6,1,,,0.42032060348892086,
2018-04-11,10р,6,1,,,0.41796322489391846,
2018-04-12,10р,6,1,,,0.41560584629891606,
2018-04-13,10р,6,1,,,0.41383781235266426,
2018-04-14,10р,6,1,,,0.41206977840641246,
2018-04-15,10р,6,1,,,0.40806223479490844,
2018-04-16,10р,6,1,,,0.4040546911834044,
2018-04-17,10р,6,1,,,0.4000471475719004,
2018-04-18,10р,6,1,,,0.3948609146628952,
2018-04-19,10р,6,1,,,0.3935643564356439,
2018-04-20,10р,6,1,,,0.39226779820839264,
2018-04-21,10р,6,1,,,0.39450730787364485,
2018-04-22,10р,6,1,,,0.39792550683639827,
2018-04-23,10р,6,1,,,0.4014615747289018,
2018-04-24,10р,6,1,,,0.4082979726544086,
2018-04-25,10р,6,1,,,0.4115983026874119,
2018-04-26,10р,6,1,,,0.4148986327204151,
2018-04-27,10р,6,1,,,0.41819896275341834,
2018-04-28,10р,6,1,,,0.4181989627534183,
2018-04-29,10р,6,1,,,0.4181989627534183,
2018-04-30,10р,6,1,,,0.4181989627534183,
2018-05-01,10р,6,1,,,0.41843470061291854,
2018-05-02,10р,6,1,,,0.4186704384724188,
2018-05-03,10р,6,1,,,0.41890617633191907,
2018-05-04,10р,6,1,,,0.41914191419141933,
2018-05-05,10р,6,1,,,0.41914191419141933,
2018-05-06,10р,6,1,,,0.425860443187176,
2018-05-07,10р,6,1,,,0.43257897218293273,
2018-05-08,10р,6,1,,,0.4392975011786895,
2018-05-09,10р,6,1,,,0.44542668552569564,
2018-05-10,10р,6,1,,,0.4448373408769451,
2018-05-11,10р,6,1,,,0.4442479962281945,
2018-05-12,10р,6,1,,,0.4436586515794439,
2018-05-13,10р,6,1,,,0.4436586515794439,
2018-05-14,10р,6,1,,,0.446723243752947,
2018-05-15,10р,6,1,,,0.44978783592645005,
2018-05-16,10р,6,1,,,0.45285242809995313,
2018-05-17,10р,6,1,,,0.45733144743045756,
2018-05-18,10р,6,1,,,0.45874587458745886,
2018-05-19,10р,6,1,,,0.46004243281471013,
2018-05-20,10р,6,1,,,0.4613389910419614,
2018-05-21,10р,6,1,,,0.46122112211221133,
2018-05-22,10р,6,1,,,0.46110325318246126,
2018-05-23,10р,6,1,,,0.46110325318246126,
2018-05-24,10р,6,1,,,0.46110325318246126,
2018-05-25,10р,6,1,,,0.46534653465346554,
2018-05-26,10р,6,1,,,0.47006129184347023,
2018-05-27,10р,6,1,,,0.4747760490334749,
2018-05-28,10р,6,1,,,0.4714757190004716,
2018-05-29,10р,6,1,,,0.463932107496464,
2018-05-30,10р,6,1,,,0.45591702027345604,
2018-05-31,10р,6,1,,,0.447901933050448,
2018-06-01,10р,6,1,,,0.447901933050448,
2018-06-02,10р,6,1,,,0.447901933050448,
2018-06-03,10р,6,1,,,0.44837340876944853,
2018-06-04,10р,6,1,,,0.4462517680339464,
2018-06-05,10р,6,1,,,0.44413012729844425,
2018-06-06,10р,6,1,,,0.4416548797736918,
2018-06-07,10р,6,1,,,0.43870815652993883,
2018-06-08,10р,6,1,,,0.43835454974068844,
2018-06-09,10р,6,1,,,0.4402404526166903,
2018-06-10,10р,6,1,,,0.44247996228194253,
2018-06-11,10р,6,1,,,0.44471947194719486,
2018-06-12,10р,6,1,,,0.4469589816124472,
2018-06-13,10р,6,1,,,0.44695898161244724,
2018-06-14,10р,6,1,,,0.44695898161244724,
2018-06-15,10р,6,1,,,0.446723243752947,
2018-06-16,10р,6,1,,,0.44342291371994363,
2018-06-17,10р,6,1,,,0.4401225836869403,
2018-06-18,10р,6,1,,,0.4382366808109384,
2018-06-19,10р,6,1,,,0.4367043847241869,
2018-06-20,10р,6,1,,,0.4370579915134372,
2018-06-21,10р,6,1,,,0.43387553041018406,
2018-06-22,10р,6,1,,,0.4323432343234326,
2018-06-23,10р,6,1,,,0.43305044790193326,
2018-06-24,10р,6,1,,,0.43493635077793513,
2018-06-25,10р,6,1,,,0.44035832154644056,
2018-06-26,10р,6,1,,,0.44306930693069335,
2018-06-27,10р,6,1,,,0.4434229137199437,
2018-06-28,10р,6,1,,,0.44377652050919403,
2018-06-29,10р,6,1,,,0.4440122583686942,
2018-06-30,10р,6,1,,,0.4437765205091939,
2018-07-01,10р,6,1,,,0.442833569071193,
2018-07-02,10р,6,1,,,0.44130127298444144,
2018-07-03,10р,6,1,,,0.43965110796793977,
2018-07-04,10р,6,1,,,0.4396511079679398,
2018-07-05,10р,6,1,,,0.4390617633191892,
2018-07-06,10р,6,1,,,0.4414191419141916,
2018-07-07,10р,6,1,,,0.4440122583686943,
2018-07-08,10р,6,1,,,0.4450730787364454,
2018-07-09,10р,6,1,,,0.44672324375294703,
2018-07-10,10р,6,1,,,0.44601603017444635,
2018-07-11,10р,6,1,,,0.4453088165959457,
2018-07-13,10р,6,1,,,0.4453088165959457,
2018-07-14,10р,6,1,,,0.44354078264969393,
2018-07-15,10р,6,1,,,0.44342291371994386,
2018-07-16,10р,6,1,,,0.4427157001414432,
2018-07-17,10р,6,1,,,0.4413012729844418,
2018-07-18,10р,6,1,,,0.4430693069306936,
2018-07-19,10р,6,1,,,0.442479962281943,
2018-07-20,10р,6,1,,,0.4405940594059411,
2018-07-21,10р,6,1,,,0.4407119283356913,
2018-07-22,10р,6,1,,,0.43481848184818545,
2018-07-23,10р,6,1,,,0.4289250353606795,
2018-07-24,10р,6,1,,,0.4240924092409246,
2018-07-25,10р,6,1,,,0.42303158887317355,
2018-07-26,10р,6,1,,,0.4272748703441778,
2018-07-27,10р,6,1,,,0.43151815181518216,
2018-07-28,10р,6,1,,,0.43187175860443255,
2018-07-29,10р,6,1,,,0.42644978783592713,
2018-07-30,10р,6,1,,,0.4196133899104203,
2018-07-31,10р,6,1,,,0.41348420556341414,
2018-02-01,1102,6,1,,,,
2018-02-02,1102,6,1,,,,
2018-02-03,1102,6,1,,,,
2018-02-04,1102,6,1,,0.8474051123160338,,0.975609756097561
2018-02-05,1102,6,1,,0.8435321456235474,,0.975609756097561
2018-02-06,1102,6,1,,0.8415956622773042,,0.975609756097561
2018-02-07,1102,6,1,,0.839659178931061,,0.975609756097561
2018-02-08,1102,6,1,,0.8377226955848178,,0.975609756097561
2018-02-09,1102,6,1,,0.8357862122385746,,0.975609756097561
2018-02-10,1102,6,1,,0.8357862122385746,,0.975609756097561
2018-02-11,1102,6,1,,0.8338497288923314,,0.975609756097561
2018-02-12,1102,6,1,,0.8319132455460883,,0.975609756097561
2018-02-13,1102,6,1,,0.8299767621998451,,0.975609756097561
2018-02-14,1102,6,1,,0.8280402788536019,,0.975609756097561
2018-02-15,1102,6,1,,0.828040278853602,,0.975609756097561
2018-02-16,1102,6,1,,0.828040278853602,,0.975609756097561
2018-02-17,1102,6,1,,0.8261037955073588,,0.975609756097561
2018-02-18,1102,6,1,,0.8241673121611156,,0.975609756097561
2018-02-19,1102,6,1,,0.8222308288148724,,0.975609756097561
2018-02-20,1102,6,1,,0.8202943454686292,,0.975609756097561
2018-02-21,1102,6,1,,0.8202943454686293,,0.975609756097561
2018-02-22,1102,6,1,,0.8202943454686293,,0.975609756097561
2018-02-23,1102,6,1,,0.8202943454686293,,0.975609756097561
2018-02-24,1102,6,1,,0.8551510457010074,,0.975609756097561
2018-02-25,1102,6,1,,0.8880712625871423,,0.975609756097561
2018-02-26,1102,6,1,,0.9209914794732772,,0.975609756097561
2018-02-27,1102,6,1,,0.9539116963594121,,0.975609756097561
2018-02-28,1102,6,1,,0.9519752130131689,,0.975609756097561
2018-03-01,1102,6,1,,0.9519752130131689,,0.975609756097561
2018-03-02,1102,6,1,,0.9519752130131689,,0.975609756097561
2018-03-03,1102,6,1,,0.9403563129357095,,0.975609756097561
2018-03-04,1102,6,1,,0.9287374128582502,0.12446958981612508,0.975609756097561
2018-03-05,1102,6,1,,0.9171185127807908,0.12446958981612506,0.975609756097561
2018-03-06,1102,6,1,,0.9054996127033315,0.12446958981612506,0.975609756097561
2018-03-07,1102,6,1,,0.9016266460108451,0.12446958981612506,0.975609756097561
2018-03-08,1102,6,1,,0.8977536793183587,0.12446958981612506,0.975609756097561
2018-03-09,1102,6,1,,0.8900077459333857,0.12446958981612506,0.975609756097561
2018-03-10,1102,6,1,,0.8822618125484127,0.12446958981612506,0.975609756097561
2018-03-11,1102,6,1,,0.8783888458559261,0.12446958981612506,0.975609756097561
2018-03-12,1102,6,1,,0.8745158791634395,0.12446958981612506,0.975609756097561
2018-03-13,1102,6,1,,0.8745158791634395,0.12446958981612506,0.975609756097561
2018-03-14,1102,6,1,,0.8745158791634395,0.12446958981612506,0.975609756097561
2018-03-16,1102,6,1,,0.8783888458559261,0.12446958981612506,0.975609756097561
2018-03-17,1102,6,1,,0.8822618125484127,0.12446958981612506,0.975609756097561
2018-03-18,1102,6,1,,0.8861347792408993,0.12446958981612506,0.975609756097561
2018-03-19,1102,6,1,,0.8900077459333859,0.12446958981612506,0.975609756097561
2018-03-20,1102,6,1,,0.8861347792408993,0.12446958981612506,0.975609756097561
2018-03-21,1102,6,1,,0.8822618125484127,0.12446958981612506,0.975609756097561
2018-03-22,1102,6,1,,0.8783888458559261,0.12446958981612506,0.975609756097561
2018-03-23,1102,6,1,,0.8745158791634395,0.12446958981612506,0.975609756097561
2018-03-24,1102,6,1,,0.876452362509683,0.12446958981612506,0.975609756097561
2018-03-25,1102,6,1,,0.8783888458559261,0.12446958981612506,0.975609756097561
2018-03-26,1102,6,1,,0.8803253292021693,0.12446958981612506,0.975609756097561
2018-03-27,1102,6,1,,0.8822618125484125,0.12446958981612506,0.975609756097561
2018-03-28,1102,6,1,,0.8803253292021692,0.12446958981612506,0.975609756097561
2018-03-29,1102,6,1,,0.878388845855926,0.12446958981612506,0.975609756097561
2018-03-30,1102,6,1,,0.8764523625096828,0.12446958981612506,0.975609756097561
2018-03-31,1102,6,1,,0.8745158791634396,0.12446958981612506,0.975609756097561
2018-04-01,1102,6,1,,0.8706429124709534,0.12446958981612506,
2018-04-02,1102,6,1,,0.866769945778467,0.12446958981612506,
2018-04-03,1102,6,1,,0.8628969790859806,0.12446958981612506,
2018-04-04,1102,6,1,,0.8534082106893888,0.12446958981612506,
2018-04-05,1102,6,1,,0.8477924089852833,0.12446958981612506,
2018-04-06,1102,6,1,,0.8421766072811778,0.12446958981612506,
2018-04-07,1102,6,1,,0.8365608055770724,0.12446958981612506,
2018-04-08,1102,6,1,,0.8402401239349345,0.12446958981612506,
2018-04-09,1102,6,1,,0.8441130906274209,0.12446958981612506,
2018-04-10,1102,6,1,,0.8479860573199073,0.12446958981612506,
2018-04-11,1102,6,1,,0.8518590240123937,0.12446958981612506,
2018-04-12,1102,6,1,,0.8520526723470179,0.12446958981612506,
2018-04-13,1102,6,1,,0.8520526723470179,0.12446958981612506,
2018-04-14,1102,6,1,,0.8520526723470179,0.12446958981612506,
2018-04-15,1102,6,1,,0.8520526723470179,0.12446958981612506,
2018-04-16,1102,6,1,,0.8520526723470179,0.12446958981612506,
2018-04-17,1102,6,1,,0.8520526723470179,0.12446958981612506,
2018-04-18,1102,6,1,,0.8501161890007747,0.12446958981612506,
2018-04-19,1102,6,1,,0.8481797056545315,0.12446958981612506,
2018-04-20,1102,6,1,,0.8462432223082883,0.12446958981612506,
2018-04-21,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-04-22,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-04-23,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-04-24,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-04-25,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-04-26,1102,6,1,,0.8441130906274208,0.12446958981612506,
2018-04-27,1102,6,1,,0.8439194422927965,0.12446958981612506,
2018-04-28,1102,6,1,,0.8437257939581722,0.12446958981612506,
2018-04-29,1102,6,1,,0.8435321456235478,0.12446958981612506,
2018-04-30,1102,6,1,,0.8435321456235478,0.12446958981612506,
2018-05-01,1102,6,1,,0.8437257939581722,0.12446958981612506,
2018-05-02,1102,6,1,,0.8439194422927965,0.12446958981612506,
2018-05-03,1102,6,1,,0.8441130906274208,0.12446958981612506,
2018-05-04,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-05-05,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-05-06,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-05-07,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-05-08,1102,6,1,,0.8443067389620451,0.12446958981612506,
2018-05-09,1102,6,1,,0.8423702556158017,0.12446958981612506,
2018-05-10,1102,6,1,,0.8404337722695585,0.12446958981612506,
2018-05-11,1102,6,1,,0.8384972889233153,0.12446958981612506,
2018-05-12,1102,6,1,,0.8365608055770721,0.12446958981612506,
2018-05-13,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-14,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-15,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-16,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-17,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-18,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-19,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-20,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-21,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-22,1102,6,1,,0.8365608055770722,0.12446958981612506,
2018-05-23,1102,6,1,,0.8384972889233154,0.12446958981612506,
2018-05-24,1102,6,1,,0.8404337722695586,0.12446958981612506,
2018-05-25,1102,6,1,,0.8423702556158018,0.12446958981612506,
2018-05-26,1102,6,1,,0.844306738962045,0.12446958981612506,
2018-05-27,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-05-28,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-05-29,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-05-30,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-05-31,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-01,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-02,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-03,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-04,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-05,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-06,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-07,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-08,1102,6,1,,0.8443067389620449,0.12446958981612506,
2018-06-09,1102,6,1,,0.8443067389620449,0.13507779349363563,
2018-06-10,1102,6,1,,0.8443067389620449,0.14568599717114622,
2018-06-11,1102,6,1,,0.8443067389620449,0.1562942008486568,
2018-06-12,1102,6,1,,0.8443067389620449,0.1669024045261674,
2018-06-13,1102,6,1,,0.8443067389620449,0.1669024045261674,
2018-06-14,1102,6,1,0.0,0.8443067389620449,0.1669024045261674,
2018-06-15,1102,6,1,0.0,0.8443067389620449,0.1669024045261674,
2018-06-16,1102,6,1,0.18584070796460178,0.8423702556158017,0.1562942008486568,
2018-06-17,1102,6,1,,0.8404337722695585,0.14568599717114622,
