date,hole,method,mode,P(TM),P(rpr),P(nd),P(issl)
2018-02-01,1,6.0,2.0,,,,0.1783943145728871
2018-02-02,1,6.0,2.0,,,,0.1783943145728871
2018-02-03,1,6.0,2.0,,,,0.1783943145728871
2018-02-04,1,6.0,2.0,,,,0.1783943145728871
2018-02-05,1,6.0,2.0,,,,0.1783943145728871
2018-02-06,1,6.0,2.0,,,,0.1783943145728871
2018-02-07,1,6.0,2.0,,,,0.1783943145728871
2018-02-08,1,6.0,2.0,,,,0.1783943145728871
2018-02-09,1,6.0,2.0,,,,0.1783943145728871
2018-02-10,1,6.0,2.0,,,,0.1783943145728871
2018-02-11,1,6.0,2.0,,,,0.1783943145728871
2018-02-12,1,6.0,2.0,,,,0.1783943145728871
2018-02-13,1,6.0,2.0,,,,0.1783943145728871
2018-02-14,1,6.0,2.0,,,,0.1783943145728871
2018-02-15,1,6.0,2.0,,,,0.1783943145728871
2018-02-16,1,6.0,2.0,,,,0.1783943145728871
2018-02-17,1,6.0,2.0,,,,0.1783943145728871
2018-02-18,1,6.0,2.0,,,,0.1783943145728871
2018-02-19,1,6.0,2.0,,,,0.1783943145728871
2018-02-20,1,6.0,2.0,,,,0.1783943145728871
2018-02-21,1,6.0,2.0,,,,0.1783943145728871
2018-02-22,1,6.0,2.0,,,,0.1783943145728871
2018-02-23,1,6.0,2.0,,,,0.1783943145728871
2018-02-24,1,6.0,2.0,,,,0.1783943145728871
2018-02-25,1,6.0,2.0,,,,0.1783943145728871
2018-02-26,1,6.0,2.0,,,,0.1783943145728871
2018-02-27,1,6.0,2.0,,,,0.1783943145728871
2018-02-28,1,6.0,2.0,,,,0.1783943145728871
2018-03-01,1,6.0,2.0,,,0.00047301980034622146,0.1783943145728871
2018-03-02,1,6.0,2.0,,,0.00047301980034622146,0.1783943145728871
2018-03-03,1,6.0,2.0,,,0.00047301980034622146,0.1783943145728871
2018-03-04,1,6.0,2.0,,,0.00047301980034622146,0.1783943145728871
2018-03-05,1,6.0,2.0,,,0.00047301980034622146,0.1783943145728871
2018-03-06,1,6.0,2.0,,,0.0004718716525186266,0.1783943145728871
2018-03-07,1,6.0,2.0,,,0.00047072350469103174,0.1783943145728871
2018-03-08,1,6.0,2.0,,,0.0004695753568634371,0.1783943145728871
2018-03-09,1,6.0,2.0,,,0.0004753160960014112,0.1783943145728871
2018-03-10,1,6.0,2.0,,,0.0004718716525186266,0.1783943145728871
2018-03-11,1,6.0,2.0,,,0.000468427209035842,0.1783943145728871
2018-03-12,1,6.0,2.0,,,0.0004663496082049558,0.1783943145728871
2018-03-13,1,6.0,2.0,,,0.0004587499630603995,0.1783943145728871
2018-03-14,1,6.0,2.0,,,0.0004628504910160953,0.1783943145728871
2018-03-15,1,6.0,2.0,,,0.0004683178616236899,0.1783943145728871
2018-03-16,1,6.0,2.0,,,0.00047378523223128434,0.1783943145728871
2018-03-17,1,6.0,2.0,,,0.0004792526028388792,0.1783943145728871
2018-03-18,1,6.0,2.0,,,0.0004847199734464736,0.1783943145728871
2018-03-19,1,6.0,2.0,,,0.0004901873440540682,0.1783943145728871
2018-03-20,1,6.0,2.0,,,0.0004956547146616626,0.1783943145728871
2018-03-21,1,6.0,2.0,,,0.0005011220852692573,0.1783943145728871
2018-03-22,1,6.0,2.0,,,0.0005065894558768519,0.1783943145728871
2018-03-23,1,6.0,2.0,,,0.0005120568264844463,0.1783943145728871
2018-03-24,1,6.0,2.0,,,0.0005175241970920409,0.1783943145728871
2018-03-25,1,6.0,2.0,,,0.0005229915676996353,0.17492477736756443
2018-03-26,1,6.0,2.0,,,0.00052845893830723,0.17145524016224176
2018-03-27,1,6.0,2.0,,,0.0005339263089148246,0.1679857029569191
2018-03-28,1,6.0,2.0,,,0.000539393679522419,0.16451616575159636
2018-03-29,1,6.0,2.0,,,0.0005448610501300132,0.16451616575159636
2018-03-30,1,6.0,2.0,,,0.0005503284207376076,0.16451616575159636
2018-03-31,1,6.0,2.0,,,0.0005557957913452022,0.16451616575159636
2018-04-01,1,6.0,2.0,,,0.0005612631619527967,0.16451616575159636
2018-04-02,1,6.0,2.0,,,0.0005653636899084927,0.16451616575159636
2018-04-03,1,6.0,2.0,,,0.0005680973752122899,0.16451616575159636
2018-04-04,1,6.0,2.0,,,0.0005694642178641885,0.16451616575159636
2018-04-05,1,6.0,2.0,,,0.0005677419961227963,0.16451616575159636
2018-04-06,1,6.0,2.0,,,0.0005660197743814039,0.16451616575159636
2018-04-07,1,6.0,2.0,,,0.0005642975526400115,0.16451616575159636
2018-04-08,1,6.0,2.0,,,0.0005625753308986193,0.16451616575159636
2018-04-09,1,6.0,2.0,,,0.0005625753308986193,0.16451616575159636
2018-04-10,1,6.0,2.0,,,0.0005631494048124169,0.16451616575159636
2018-04-11,1,6.0,2.0,,,0.0005637234787262144,0.16451616575159636
