date,hole,method,mode,P(TM),P(rpr),P(nd),P(issl)
2018-02-01,1,6,2,,,,75.0
2018-02-02,1,6,2,,,,75.0
2018-02-03,1,6,2,,,,75.0
2018-02-04,1,6,2,,,,75.0
2018-02-05,1,6,2,,,,75.0
2018-02-06,1,6,2,,,,75.0
2018-02-07,1,6,2,,,,75.0
2018-02-08,1,6,2,,,,75.0
2018-02-09,1,6,2,,,,75.0
2018-02-10,1,6,2,,,,75.0
2018-02-11,1,6,2,,,,75.0
2018-02-12,1,6,2,,,,75.0
2018-02-13,1,6,2,,,,75.0
2018-02-14,1,6,2,,,,75.0
2018-02-15,1,6,2,,,,75.0
2018-02-16,1,6,2,,,,75.0
2018-02-17,1,6,2,,,,75.0
2018-02-18,1,6,2,,,,75.0
2018-02-19,1,6,2,,,,75.0
2018-02-20,1,6,2,,,,75.0
2018-02-21,1,6,2,,,,75.0
2018-02-22,1,6,2,,,,75.0
2018-02-23,1,6,2,,,,75.0
2018-02-24,1,6,2,,,,75.0
2018-02-25,1,6,2,,,,75.0
2018-02-26,1,6,2,,,,75.0
2018-02-27,1,6,2,,,,75.0
2018-02-28,1,6,2,,,,75.0
2018-03-01,1,6,2,,,53.2,75.0
2018-03-02,1,6,2,,,53.2,75.0
2018-03-03,1,6,2,,,53.2,75.0
2018-03-04,1,6,2,,,53.2,75.0
2018-03-05,1,6,2,,,53.2,75.0
2018-03-06,1,6,2,,,53.0,75.0
2018-03-07,1,6,2,,,53.0,75.0
2018-03-08,1,6,2,,,53.0,75.0
2018-03-09,1,6,2,,,54.2,75.0
2018-03-10,1,6,2,,,52.4,75.0
2018-03-11,1,6,2,,,52.4,75.0
2018-03-12,1,6,2,,,,75.0
2018-03-13,1,6,2,,,,75.0
2018-03-14,1,6,2,,,,75.0
2018-03-15,1,6,2,,,,75.0
2018-03-16,1,6,2,,,,75.0
2018-03-17,1,6,2,,,,75.0
2018-03-18,1,6,2,,,,75.0
2018-03-19,1,6,2,,,,75.0
2018-03-20,1,6,2,,,,75.0
2018-03-21,1,6,2,,,,75.0
2018-03-22,1,6,2,,,,75.0
2018-03-23,1,6,2,,,,75.0
2018-03-24,1,6,2,,,,75.0
2018-03-25,1,6,2,,,,72.0
2018-03-26,1,6,2,,,,72.0
2018-03-27,1,6,2,,,,72.0
2018-03-28,1,6,2,,,,72.0
2018-03-29,1,6,2,,,,72.0
2018-03-30,1,6,2,,,,72.0
2018-03-31,1,6,2,,,,72.0
2018-04-01,1,6,2,,,57.4,72.0
2018-04-02,1,6,2,,,57.4,72.0
2018-04-03,1,6,2,,,57.4,72.0
2018-04-04,1,6,2,,,57.4,72.0
2018-04-05,1,6,2,,,57.1,72.0
2018-04-06,1,6,2,,,57.1,72.0
2018-04-07,1,6,2,,,57.1,72.0
2018-04-08,1,6,2,,,57.1,72.0
2018-04-09,1,6,2,,,57.1,72.0
2018-04-10,1,6,2,,,57.2,72.0
2018-04-11,1,6,2,,,57.2,72.0
2018-04-12,1,6,2,,,57.2,72.0
2018-04-13,1,6,2,,,55.9,72.0
2018-04-14,1,6,2,,,55.9,72.0
2018-04-15,1,6,2,,,55.9,72.0
2018-04-16,1,6,2,,,55.9,72.0
2018-04-17,1,6,2,,,55.9,72.0
2018-04-18,1,6,2,,,55.9,72.0
2018-04-19,1,6,2,,,68.3,72.0
2018-04-20,1,6,2,,,68.3,72.0
2018-04-21,1,6,2,,,66.3,72.0
2018-04-22,1,6,2,,,66.3,72.0
2018-04-23,1,6,2,,,66.3,72.0
2018-04-24,1,6,2,,,64.8,72.0
2018-04-25,1,6,2,,,64.8,72.0
2018-04-27,1,6,2,,,65.4,72.0
2018-04-28,1,6,2,,,65.4,72.0
2018-04-29,1,6,2,,,65.4,72.0
2018-04-30,1,6,2,,,65.4,72.0
2018-05-01,1,6,2,,,66.8,72.0
2018-05-02,1,6,2,,,65.4,72.0
2018-05-03,1,6,2,,,65.4,72.0
2018-05-04,1,6,2,,,65.4,72.0
2018-05-05,1,6,2,,,65.4,72.0
2018-05-06,1,6,2,,,65.2,72.0
2018-05-07,1,6,2,,,65.2,72.0
2018-05-08,1,6,2,,,65.2,72.0
2018-05-09,1,6,2,,,65.2,72.0
2018-05-10,1,6,2,,,65.2,72.0
2018-05-11,1,6,2,,,65.2,72.0
2018-05-12,1,6,2,,,65.2,72.0
2018-05-13,1,6,2,,,65.2,72.0
2018-05-14,1,6,2,,,65.3,72.0
2018-05-15,1,6,2,,,52.2,72.0
2018-05-16,1,6,2,,,52.2,72.0
2018-05-17,1,6,2,,,52.2,72.0
2018-05-18,1,6,2,,,51.7,72.0
2018-05-19,1,6,2,,,51.7,72.0
2018-05-20,1,6,2,,,51.7,72.0
2018-05-21,1,6,2,,,51.8,72.0
2018-05-22,1,6,2,,,51.8,72.0
2018-05-23,1,6,2,,,51.8,72.0
2018-05-24,1,6,2,,,51.8,72.0
2018-05-25,1,6,2,,,51.9,72.0
2018-05-26,1,6,2,,,51.9,72.0
2018-05-27,1,6,2,,,51.9,72.0
2018-05-28,1,6,2,,,51.9,72.0
2018-05-29,1,6,2,,,52.1,72.0
2018-05-30,1,6,2,,,52.1,72.0
2018-05-31,1,6,2,,,52.1,72.0
2018-06-01,1,6,2,,,52.1,72.0
2018-06-02,1,6,2,,,52.1,72.0
2018-06-03,1,6,2,,,52.1,72.0
2018-06-04,1,6,2,,,52.1,72.0
2018-06-05,1,6,2,,,50.0,72.0
2018-06-06,1,6,2,,,50.0,72.0
2018-06-07,1,6,2,,,50.2,72.0
2018-06-08,1,6,2,,,50.2,72.0
2018-06-09,1,6,2,,,50.5,72.0
2018-06-10,1,6,2,,,50.5,72.0
2018-06-11,1,6,2,,,50.5,72.0
2018-06-12,1,6,2,,,50.5,72.0
2018-06-13,1,6,2,,,50.5,72.0
2018-06-14,1,6,2,,,50.6,72.0
2018-06-15,1,6,2,,,50.6,72.0
2018-06-16,1,6,2,,,50.6,72.0
2018-06-17,1,6,2,,,50.6,72.0
2018-06-18,1,6,2,,,50.7,72.0
2018-06-19,1,6,2,,,50.7,72.0
2018-06-20,1,6,2,,,43726.0,72.0
2018-06-21,1,6,2,,,43516.0,72.0
2018-06-22,1,6,2,,,43544.0,72.0
2018-06-23,1,6,2,,,43544.0,72.0
2018-06-24,1,6,2,,,43544.0,72.0
2018-06-25,1,6,2,,,43726.0,72.0
2018-06-26,1,6,2,,,43726.0,72.0
2018-06-27,1,6,2,,,43726.0,72.0
2018-06-28,1,6,2,,,43726.0,72.0
2018-06-29,1,6,2,,,43544.0,72.0
2018-06-30,1,6,2,,,43726.0,72.0
2018-07-01,1,6,2,,,43484.0,
2018-07-02,1,6,2,,,43672.0,
2018-07-03,1,6,2,,,43672.0,
2018-07-04,1,6,2,,,43672.0,
2018-07-05,1,6,2,,,43734.0,
2018-07-06,1,6,2,,,43734.0,
2018-07-07,1,6,2,,,43552.0,
2018-07-08,1,6,2,,,43552.0,
2018-07-09,1,6,2,,,43549.0,
2018-07-10,1,6,2,,,43549.0,
2018-07-11,1,6,2,,,43549.0,
2018-07-12,1,6,2,,,43549.0,
2018-07-13,1,6,2,,,43520.0,
2018-07-14,1,6,2,,,43578.0,
2018-07-15,1,6,2,,,43578.0,
2018-07-16,1,6,2,,,43578.0,
2018-07-17,1,6,2,,,43670.0,
2018-07-18,1,6,2,,,43578.0,
2018-07-19,1,6,2,,,43670.0,
2018-07-20,1,6,2,,,43670.0,
2018-07-21,1,6,2,,,43640.0,
2018-07-22,1,6,2,,,43640.0,
2018-07-23,1,6,2,,,43645.0,
2018-07-24,1,6,2,,,43645.0,
2018-07-25,1,6,2,,,43645.0,
2018-07-26,1,6,2,,,43614.0,
2018-07-27,1,6,2,,,43707.0,
2018-07-28,1,6,2,,,43493.0,
2018-07-29,1,6,2,,,43493.0,
2018-07-30,1,6,2,,,43493.0,
2018-07-31,1,6,2,,,43493.0,
2018-02-01,1006-2,0,0,,,,76.3
2018-02-02,1006-2,0,0,,,,76.3
2018-02-03,1006-2,0,0,,,,76.3
2018-02-04,1006-2,0,0,,,,76.3
2018-02-05,1006-2,0,0,,,,76.3
2018-02-06,1006-2,0,0,,,,76.3
2018-02-07,1006-2,0,0,,,,76.3
2018-02-08,1006-2,0,0,,,,76.3
2018-02-09,1006-2,0,0,,,,76.3
2018-02-10,1006-2,0,0,,,,76.3
2018-02-11,1006-2,0,0,,,,76.3
2018-02-12,1006-2,0,0,,,,76.3
2018-02-13,1006-2,0,0,,,,76.3
2018-02-14,1006-2,0,0,,,,76.3
2018-02-15,1006-2,0,0,,,,76.3
2018-02-16,1006-2,0,0,,,,76.3
2018-02-17,1006-2,0,0,,,,76.3
2018-02-18,1006-2,0,0,,,,76.3
2018-02-19,1006-2,0,0,,,,76.3
2018-02-20,1006-2,0,0,,,,76.3
2018-02-21,1006-2,0,0,,,,76.3
2018-02-22,1006-2,0,0,,,,76.3
2018-02-23,1006-2,0,0,,,,76.3
2018-02-24,1006-2,0,0,,,,76.3
2018-02-25,1006-2,0,0,,,,76.3
2018-02-26,1006-2,0,0,,,,76.3
2018-02-27,1006-2,0,0,,,,76.3
2018-02-28,1006-2,0,0,,,,76.3
2018-05-05,1006-2,0,0,,,,76.3
2018-05-06,1006-2,0,0,,,,76.3
2018-05-07,1006-2,0,0,,,,76.3
2018-05-08,1006-2,0,0,,,,76.3
2018-05-09,1006-2,0,0,,,,76.3
2018-05-10,1006-2,0,0,,,,76.3
2018-05-11,1006-2,0,0,,,,76.3
2018-05-12,1006-2,0,0,,,,76.3
2018-05-13,1006-2,0,0,,,,76.3
2018-05-14,1006-2,0,0,,,,76.3
2018-05-15,1006-2,0,0,,,,76.3
2018-05-16,1006-2,0,0,,,,76.3
2018-05-17,1006-2,0,0,,,,76.3
2018-05-18,1006-2,0,0,,,,76.3
2018-05-19,1006-2,0,0,,,,76.3
2018-05-20,1006-2,0,0,,,,80.7
2018-05-21,1006-2,0,0,,,,80.7
2018-05-22,1006-2,0,0,,,,80.7
2018-05-23,1006-2,0,0,,,,80.7
2018-05-24,1006-2,0,0,,,,80.7
2018-05-25,1006-2,0,0,,,,80.7
2018-05-26,1006-2,0,0,,,,80.7
2018-05-27,1006-2,0,0,,,,80.7
2018-05-28,1006-2,0,0,,,,80.7
2018-05-29,1006-2,0,0,,,,80.7
2018-05-30,1006-2,0,0,,,,80.7
2018-05-31,1006-2,0,0,,,,80.7
2018-06-01,1006-2,0,0,,,,80.7
2018-06-02,1006-2,0,0,,,,80.7
2018-06-03,1006-2,0,0,,,,80.7
2018-06-04,1006-2,0,0,,,,80.7
2018-06-05,1006-2,0,0,,,,80.7
2018-06-06,1006-2,0,0,,,,80.7
2018-06-07,1006-2,0,0,,,,80.7
2018-06-08,1006-2,0,0,,,,73.4
2018-06-09,1006-2,0,0,,,,73.4
2018-06-10,1006-2,0,0,,,,73.4
2018-06-11,1006-2,0,0,,,,73.4
2018-06-12,1006-2,0,0,,,,73.4
2018-06-13,1006-2,0,0,,,,73.4
2018-06-14,1006-2,0,0,,,,73.4
2018-06-15,1006-2,0,0,,,,73.4
2018-06-16,1006-2,0,0,,,,73.4
2018-06-17,1006-2,0,0,,,,73.4
2018-06-18,1006-2,0,0,,,,73.4
2018-06-19,1006-2,0,0,,,,73.4
2018-06-20,1006-2,0,0,,,,73.4
2018-06-21,1006-2,0,0,,,,73.4
2018-06-22,1006-2,0,0,,,,73.4
2018-06-23,1006-2,0,0,,,,73.4
2018-06-24,1006-2,0,0,,,,73.4
2018-06-25,1006-2,0,0,,,,73.4
2018-06-26,1006-2,0,0,,,,73.4
2018-06-27,1006-2,0,0,,,,73.4
2018-06-28,1006-2,0,0,,,,73.4
2018-06-29,1006-2,0,0,,,,73.4
2018-06-30,1006-2,0,0,,,,73.4
2018-07-01,1006-2,0,0,,,,73.4
2018-07-02,1006-2,0,0,,,,73.4
2018-07-03,1006-2,0,0,,,,73.4
2018-07-04,1006-2,0,0,,,,73.4
2018-07-05,1006-2,0,0,,,,73.4
2018-07-06,1006-2,0,0,,,,73.4
2018-07-07,1006-2,0,0,,,,73.4
2018-07-08,1006-2,0,0,,,,73.4
2018-07-09,1006-2,0,0,,,,73.4
2018-07-10,1006-2,0,0,,,,73.4
2018-07-11,1006-2,0,0,,,,73.4
2018-07-12,1006-2,0,0,,,,61.9
2018-07-13,1006-2,0,0,,,,61.9
